"Neighbourhood","Neighbourhood Id","   Southeast Asian"
"West Humber-Clairville",1.0,490.0
"Mount Olive-Silverstone-Jamestown",2.0,590.0
"Thistletown-Beaumond Heights",3.0,120.0
"Rexdale-Kipling",4.0,170.0
"Elms-Old Rexdale",5.0,370.0
"Kingsview Village-The Westway",6.0,270.0
"Willowridge-Martingrove-Richview",7.0,110.0
"Humber Heights-Westmount",8.0,25.0
"Edenbridge-Humber Valley",9.0,55.0
"Princess-Rosethorn",10.0,75.0
"Eringate-Centennial-West Deane",11.0,110.0
"Markland Wood",12.0,50.0
"Etobicoke West Mall",13.0,155.0
"Islington-City Centre West",14.0,490.0
"Kingsway South",15.0,25.0
"Stonegate-Queensway",16.0,275.0
"Mimico",17.0,405.0
"New Toronto",18.0,105.0
"Long Branch",19.0,125.0
"Alderwood",20.0,55.0
"Humber Summit",21.0,440.0
"Humbermede",22.0,1085.0
"Pelmo Park-Humberlea",23.0,705.0
"Black Creek",24.0,2595.0
"Glenfield-Jane Heights",25.0,3985.0
"Downsview-Roding-CFB",26.0,2065.0
"York University Heights",27.0,1375.0
"Rustic",28.0,260.0
"Maple Leaf",29.0,270.0
"Brookhaven-Amesbury",30.0,1095.0
"Yorkdale-Glen Park",31.0,535.0
"Englemount-Lawrence",32.0,215.0
"Clanton Park",33.0,210.0
"Bathurst Manor",34.0,150.0
"Westminster-Branson",35.0,120.0
"Newtonbrook West",36.0,185.0
"Willowdale West",37.0,170.0
"Lansing-Westgate",38.0,90.0
"Bedford Park-Nortown",39.0,75.0
"St.Andrew-Windfields",40.0,70.0
"Bridle Path-Sunnybrook-York Mills",41.0,45.0
"Banbury-Don Mills",42.0,110.0
"Victoria Village",43.0,95.0
"Flemingdon Park",44.0,230.0
"Parkwoods-Donalda",45.0,195.0
"Pleasant View",46.0,125.0
"Don Valley Village",47.0,190.0
"Hillcrest Village",48.0,90.0
"Bayview Woods-Steeles",49.0,135.0
"Newtonbrook East",50.0,110.0
"Willowdale East",51.0,385.0
"Bayview Village",52.0,200.0
"Henry Farm",53.0,115.0
"O'Connor-Parkview",54.0,100.0
"Thorncliffe Park",55.0,95.0
"Leaside-Bennington",56.0,85.0
"Broadview North",57.0,85.0
"Old East York",58.0,190.0
"Danforth-East York",59.0,140.0
"Woodbine-Lumsden",60.0,55.0
"Taylor-Massey",61.0,175.0
"East End-Danforth",62.0,95.0
"The Beaches",63.0,160.0
"Woodbine Corridor",64.0,75.0
"Greenwood-Coxwell",65.0,190.0
"Danforth",66.0,65.0
"Playter Estates-Danforth",67.0,60.0
"North Riverdale",68.0,105.0
"Blake-Jones",69.0,90.0
"South Riverdale",70.0,650.0
"Cabbagetown-South St.James Town",71.0,125.0
"Regent Park",72.0,390.0
"Moss Park",73.0,340.0
"North St.James Town",74.0,270.0
"Church-Yonge Corridor",75.0,320.0
"Bay Street Corridor",76.0,340.0
"Waterfront Communities-The Island",77.0,675.0
"Kensington-Chinatown",78.0,585.0
"University",79.0,80.0
"Palmerston-Little Italy",80.0,85.0
"Trinity-Bellwoods",81.0,165.0
"Niagara",82.0,365.0
"Dufferin Grove",83.0,235.0
"Little Portugal",84.0,325.0
"South Parkdale",85.0,680.0
"Roncesvalles",86.0,315.0
"High Park-Swansea",87.0,240.0
"High Park North",88.0,185.0
"Runnymede-Bloor West Village",89.0,50.0
"Junction Area",90.0,395.0
"Weston-Pellam Park",91.0,495.0
"Corso Italia-Davenport",92.0,95.0
"Dovercourt-Wallace Emerson-Juncti",93.0,1000.0
"Wychwood",94.0,165.0
"Annex",95.0,190.0
"Casa Loma",96.0,55.0
"Yonge-St.Clair",97.0,50.0
"Rosedale-Moore Park",98.0,45.0
"Mount Pleasant East",99.0,50.0
"Yonge-Eglinton",100.0,75.0
"Forest Hill South",101.0,75.0
"Forest Hill North",102.0,20.0
"Lawrence Park South",103.0,45.0
"Mount Pleasant West",104.0,115.0
"Lawrence Park North",105.0,115.0
"Humewood-Cedarvale",106.0,80.0
"Oakwood Village",107.0,385.0
"Briar Hill-Belgravia",108.0,170.0
"Caledonia-Fairbank",109.0,160.0
"Keelesdale-Eglinton West",110.0,335.0
"Rockcliffe-Smythe",111.0,1285.0
"Beechborough-Greenbrook",112.0,215.0
"Weston",113.0,550.0
"Lambton Baby Point",114.0,35.0
"Mount Dennis",115.0,655.0
"Steeles",116.0,170.0
"L'Amoreaux",117.0,280.0
"Tam O'Shanter-Sullivan",118.0,165.0
"Wexford/Maryvale",119.0,215.0
"Clairlea-Birchmount",120.0,250.0
"Oakridge",121.0,125.0
"Birchcliffe-Cliffside",122.0,265.0
"Cliffcrest",123.0,60.0
"Kennedy Park",124.0,240.0
"Ionview",125.0,135.0
"Dorset Park",126.0,265.0
"Bendale",127.0,310.0
"Agincourt South-Malvern West",128.0,155.0
"Agincourt North",129.0,260.0
"Milliken",130.0,240.0
"Rouge",131.0,295.0
"Malvern",132.0,200.0
"Centennial Scarborough",133.0,55.0
"Highland Creek",134.0,85.0
"Morningside",135.0,210.0
"West Hill",136.0,215.0
"Woburn",137.0,315.0
"Eglinton East",138.0,195.0
"Scarborough Village",139.0,70.0
"Guildwood",140.0,70.0
